KCJ04, A, 5, -16, 6, inf
D3L1P, C, 4, -3, 6, inf
KCJ04, C, 5, -6, 6, inf
D3L1P, C, 4, -3, 6, inf
KCJ04, D, 5, -24, 6, inf
D3L1P, C, 4, -3, 6, inf
KCJ04, E, 5, -10, 6, inf
D3L1P, C, 4, -3, 6, inf
KCJ04, F, 5, -3, 6, inf
D3L1P, C, 4, -3, 6, inf
VCIBQ, A, 5, -16, 6, inf
D3L1P, C, 4, -3, 6, inf
VCIBQ, D, 5, -24, 6, inf
D3L1P, C, 4, -3, 6, inf
VCIBQ, E, 5, -10, 6, inf
D3L1P, C, 4, -3, 6, inf
VCIBQ, F, 5, -3, 6, inf
D3L1P, C, 4, -3, 6, inf
W427K, C, 5, -6, 6, inf
D3L1P, C, 4, -3, 6, inf
W427K, D, 5, -24, 6, inf
D3L1P, C, 4, -3, 6, inf
W427K, E, 5, -10, 6, inf
D3L1P, C, 4, -3, 6, inf
W427K, F, 5, -3, 6, inf
D3L1P, C, 4, -3, 6, inf
J3L76, B, 3, -3, 6, inf
76AUB, B, 2, 6, 6, inf
J3L76, C, 3, inf, 6, inf
D3L1P, D, 4, -inf, 6, inf
4RTKC, A, 5, 4, 6, inf
D3L1P, D, 4, 4, 6, inf
4RTKC, B, 5, -1, 6, inf
D3L1P, D, 4, 4, 6, inf
4RTKC, C, 5, 14, 6, inf
D3L1P, D, 4, 14, 14, inf
4RTKC, E, 5, 10, 14, inf
D3L1P, D, 4, 14, 14, inf
4RTKC, F, 5, 17, 14, inf
D3L1P, D, 4, 17, 17, inf
KCJ04, A, 5, 4, 17, inf
D3L1P, D, 4, 17, 17, inf
KCJ04, C, 5, 14, 17, inf
D3L1P, D, 4, 17, 17, inf
KCJ04, D, 5, -4, 17, inf
D3L1P, D, 4, 17, 17, inf
KCJ04, E, 5, 10, 17, inf
D3L1P, D, 4, 17, 17, inf
KCJ04, F, 5, 17, 17, inf
D3L1P, D, 4, 17, 17, inf
VCIBQ, A, 5, 4, 17, inf
D3L1P, D, 4, 17, 17, inf
VCIBQ, C, 5, 14, 17, inf
D3L1P, D, 4, 17, 17, inf
VCIBQ, E, 5, 10, 17, inf
D3L1P, D, 4, 17, 17, inf
VCIBQ, F, 5, 17, 17, inf
D3L1P, D, 4, 17, 17, inf
W427K, C, 5, 14, 17, inf
D3L1P, D, 4, 17, 17, inf
W427K, D, 5, -4, 17, inf
D3L1P, D, 4, 17, 17, inf
W427K, E, 5, 10, 17, inf
D3L1P, D, 4, 17, 17, inf
W427K, F, 5, 17, 17, inf
D3L1P, D, 4, 17, 17, inf
J3L76, C, 3, 17, 6, 17
D3L1P, E, 4, -inf, 6, 17
4RTKC, A, 5, 14, 6, 17
D3L1P, E, 4, 14, 14, 17
4RTKC, B, 5, 9, 14, 17
D3L1P, E, 4, 14, 14, 17
4RTKC, C, 5, 24, 14, 17
D3L1P, E, 4, 24, 14, 17
J3L76, C, 3, 17, 6, 17
